top_20_actors,top_20_directors
Robert De Niro,Steven Spielberg
Morgan Freeman,Clint Eastwood
Johnny Depp,Woody Allen
Bruce Willis,Ridley Scott
Matt Damon,Martin Scorsese
Brad Pitt,Tim Burton
Denzel Washington,Steven Soderbergh
Nicolas Cage,Renny Harlin
Will Ferrell,Spike Lee
Bill Murray,Ron Howard
Liam Neeson,Michael Bay
Steve Buscemi,Robert Zemeckis
J.K. Simmons,Oliver Stone
Tom Hanks,Robert Rodriguez
Robert Downey Jr.,John Carpenter
Tom Cruise,Sam Raimi
Christian Bale,Shawn Levy
Harrison Ford,Tony Scott
Scarlett Johansson,Barry Levinson
Anthony Hopkins,Joel Schumacher
